"Date","Price","Open","High","Low","Vol.","Change %"
"Jul 16, 2020","96.52","96.56","97.40","95.90","110.58M","-1.23%"
"Jul 15, 2020","97.72","98.99","99.25","96.49","153.20M","0.69%"
"Jul 14, 2020","97.06","94.84","97.25","93.88","170.99M","1.65%"
"Jul 13, 2020","95.48","97.26","99.96","95.26","191.65M","-0.46%"
"Jul 10, 2020","95.92","95.33","95.98","94.71","90.26M","0.25%"
"Jul 09, 2020","95.68","96.26","96.32","94.67","125.64M","0.36%"
"Jul 08, 2020","95.34","94.18","95.38","94.09","117.09M","2.33%"
"Jul 07, 2020","93.17","93.85","94.65","93.06","112.42M","-0.31%"
"Jul 06, 2020","93.46","92.50","93.94","92.47","118.66M","2.68%"
"Jul 02, 2020","91.03","91.96","92.62","90.91","114.04M","0.00%"
"Jul 01, 2020","91.03","91.28","91.84","90.98","110.74M","-0.19%"
"Jun 30, 2020","91.20","90.02","91.50","90.00","140.22M","0.83%"
"Jun 29, 2020","90.44","88.31","90.54","87.82","130.65M","2.30%"
"Jun 26, 2020","88.41","91.10","91.33","88.25","205.26M","-3.07%"
"Jun 25, 2020","91.21","90.18","91.25","89.39","137.52M","1.33%"
"Jun 24, 2020","90.01","91.25","92.20","89.63","192.62M","-1.77%"
"Jun 23, 2020","91.63","91.00","93.10","90.57","212.16M","2.13%"
"Jun 22, 2020","89.72","87.83","89.86","87.79","135.44M","2.62%"
"Jun 19, 2020","87.43","88.66","89.14","86.29","264.48M","-0.57%"
"Jun 18, 2020","87.93","87.85","88.36","87.31","96.82M","0.04%"
"Jun 17, 2020","87.90","88.79","88.85","87.77","114.41M","-0.14%"
"Jun 16, 2020","88.02","87.86","88.30","86.18","165.43M","2.65%"
"Jun 15, 2020","85.75","83.31","86.42","83.14","138.81M","1.24%"
"Jun 12, 2020","84.70","86.18","86.95","83.56","200.15M","0.86%"
"Jun 11, 2020","83.97","87.33","87.76","83.87","201.66M","-4.80%"
